DOCID	DATESQL	DOC_NBR	cleanBody
943295	19760609000000	1976CAIRO07909	
943296	19760602000000	1976CAIRO07528	
943297	19760603000000	1976MONTEV01989	
943298	19760628000000	1976BUCHAR03743	
943299	19760630000000	1976BUCHAR03837	
943300	19760630000000	1976TELAV04530	
943301	19760630000000	1976HONGK07654	
943302	19760629000000	1976LONDON10101	
943303	19760628000000	1976SANTIA06269	
943304	19760628000000	1976TORONT00834	
943305	19760628000000	1976TORONT00833	
943306	19760628000000	1976TORONT00835	
943307	19760628000000	1976BUCHAR03745	
943308	19760628000000	1976IBADAN00447	
943309	19760628000000	1976SAOPA01515	
943310	19760628000000	1976PORTA01690	
943311	19760628000000	1976LAPAZ05098	
943312	19760620000000	1976KUWAIT02967	
943313	19760619000000	1976JIDDA04336	
943314	19760619000000	1976SINGAP03031	
943315	19760619000000	1976ABUDH01674	
943316	19760619000000	1976STATE151982	
943317	19760619000000	1976STATE151873	
943318	19760619000000	1976STATE152742	
943319	19760618000000	1976BELGRA04017	
943320	19760618000000	1976BELGRA04032	
943321	19760618000000	1976LISBON04063	
943322	19760618000000	1976BOGOTA06008	
943323	19760618000000	1976GENOA00374	
943324	19760618000000	1976HONGK07126	
943325	19760618000000	1976KINGST02509	
943326	19760618000000	1976STATE150389	
943327	19760618000000	1976TORONT00781	
943328	19760618000000	1976TORONT00785	
943329	19760618000000	1976BOMBAY01548	
943330	19760618000000	1976BELGRA04033	
943331	19760618000000	1976BERLIN06094	
943332	19760618000000	1976HAMILT00197	
943333	19760618000000	1976SANTIA05959	
943334	19760618000000	1976WARSAW04188	
943335	19760618000000	1976TORONT00791	
943336	19760618000000	1976TOKYO09272	
943337	19760618000000	1976TOKYO09220	
943338	19760618000000	1976TORONT00783	
943339	19760618000000	1976TORONT00782	
943340	19760618000000	1976BUCHAR03606	
943341	19760618000000	1976BREMEN00309	
943342	19760618000000	1976TORONT00784	
943343	19760618000000	1976OPORTO00239	
943344	19760618000000	1976MANILA08686	
943345	19760618000000	1976SYDNEY01538	
943346	19760618000000	1976OTTAWA02496	
943347	19760618000000	1976LONDON09436	
943348	19760618000000	1976HAMILT00199	
943349	19760618000000	1976MANILA08690	
943350	19760618000000	1976LIMA05664	
943351	19760617000000	1976SANSA02798	
943352	19760617000000	1976STATE149880	
943353	19760617000000	1976BERLIN06074	
943354	19760617000000	1976PRAGUE01747	
943355	19760617000000	1976STATE149866	
943356	19760617000000	1976SYDNEY01531	
943357	19760617000000	1976USBERL06074	
943358	19760617000000	1976TORONT00773	
943359	19760617000000	1976TORONT00774	
943360	19760617000000	1976ATHENS06020	
943361	19760617000000	1976MOSCOW09589	
943362	19760617000000	1976BERLIN06075	
943363	19760617000000	1976BUCHAR03563	
943364	19760617000000	1976BUCHAR03562	
943365	19760617000000	1976BUCHAR03561	
943366	19760617000000	1976BUCHAR03560	
943367	19760617000000	1976BELGRA03989	
943368	19760617000000	1976KINGST02494	
943369	19760617000000	1976HONGK07068	
943370	19760617000000	1976HAMILT00193	
943371	19760617000000	1976CASABL00683	
943372	19760617000000	1976COPENH02015	
943373	19760617000000	1976MOSCOW09631	
943374	19760616000000	1976AUCKLA00267	
943375	19760616000000	1976BERN02685	
943376	19760616000000	1976BUCHAR03540	
943377	19760616000000	1976BELGRA03963	
943378	19760616000000	1976MOSCOW09524	
943379	19760616000000	1976TORONT00764	
943380	19760616000000	1976TORONT00770	
943381	19760616000000	1976TORONT00769	
943382	19760616000000	1976TORONT00771	
943383	19760616000000	1976TORONT00772	
943384	19760616000000	1976UDORN05160	
943385	19760616000000	1976TORONT00765	
943386	19760616000000	1976STATE148609	
943387	19760616000000	1976HONGK07008	
943388	19760616000000	1976HONGK06983	
943389	19760616000000	1976STATE148949	
943390	19760616000000	1976STRASB00132	
943391	19760615000000	1976BUCHAR03465	
943392	19760615000000	1976BUCHAR03497	
943393	19760615000000	1976VANCOU00625	
943394	19760615000000	1976TORONT00755	
943395	19760615000000	1976TOKYO08966	
943396	19760615000000	1976TORONT00756	
943397	19760615000000	1976TORONT00754	
943398	19760615000000	1976TORONT00753	
943399	19760615000000	1976STATE147512	
943400	19760615000000	1976STATE147510	
943401	19760614000000	1976BUCHAR03453	
943402	19760614000000	1976BERN02648	
943403	19760614000000	1976TORONT00742	
943404	19760614000000	1976DOHA00671	
943405	19760614000000	1976JIDDA04220	
943406	19760614000000	1976ATHENS05836	
943407	19760614000000	1976BELGRA03851	
943408	19760614000000	1976BUCHAR03436	
943409	19760614000000	1976BELGRA03884	
943410	19760614000000	1976BUCHAR03429	
943411	19760613000000	1976STATE145021	
943412	19760613000000	1976STATE145022	
943413	19760613000000	1976UDORN05122	
943414	19760613000000	1976UDORN05121	
943415	19760613000000	1976UDORN05120	
943416	19760613000000	1976UDORN05124	
943417	19760613000000	1976UDORN05123	
943418	19760613000000	1976UDORN05126	
943419	19760613000000	1976UDORN05127	
943420	19760613000000	1976STATE145289	
943421	19760613000000	1976STATE145631	
943422	19760613000000	1976STATE145624	
943423	19760613000000	1976STATE145491	
943424	19760612000000	1976STATE144233	
943425	19760612000000	1976STATE144322	
943426	19760612000000	1976STATE143806	
943427	19760612000000	1976STATE143714	
943428	19760630000000	1976JAKART08616	
943429	19760629000000	1976STATE161478	
943430	19760628000000	1976WARSAW04477	
943431	19760628000000	1976GENEVA05037	
943432	19760625000000	1976OTTAWA02616	
943433	19760625000000	1976PARIS18668	
943434	19760630000000	1976BREMEN00331	
943435	19760630000000	1976MEXICO08450	
943436	19760630000000	1976MEXICO08451	
943437	19760630000000	1976MEXICO08439	
943438	19760630000000	1976MEXICO08452	
943439	19760630000000	1976LIMA06017	
943440	19760630000000	1976MAPUTO00734	
943441	19760630000000	1976MASERU00704	
943442	19760630000000	1976MANILA09477	
943443	19760630000000	1976LAGOS07523	
943444	19760630000000	1976MEXICO08417	
943445	19760630000000	1976MANILA09382	
943446	19760630000000	1976NAIROB06733	
943447	19760630000000	1976NAIROB06760	
943448	19760630000000	1976NIAMEY02984	
943449	19760630000000	1976NOUAKC01601	
943450	19760630000000	1976NASSAU01040	
943451	19760630000000	1976NAIROB06759	
943452	19760630000000	1976NAIROB06732	
943453	19760630000000	1976MILAN01529	
943454	19760630000000	1976MILAN01531	
943455	19760630000000	1976MOSCOW10313	
943456	19760630000000	1976MOSCOW10324	
943457	19760630000000	1976MOSCOW10336	
943458	19760630000000	1976MOSCOW10335	
943459	19760630000000	1976MOSCOW10323	
943460	19760630000000	1976MOSCOW10312	
943461	19760630000000	1976OTTAWA02675	
943462	19760630000000	1976MADRID05072	
943463	19760630000000	1976MANILA09380	
943464	19760630000000	1976MANILA09428	
943465	19760630000000	1976MADRID05075	
943466	19760630000000	1976MADRID05071	
943467	19760630000000	1976LONDON10196	
943468	19760630000000	1976LONDON10207	
943469	19760630000000	1976MADRAS01138	
943470	19760630000000	1976LONDON10210	
943471	19760630000000	1976LONDON10197	
943472	19760630000000	1976MADRID05052	
943473	19760630000000	1976MANILA09376	
943474	19760630000000	1976CAIRO08902	
943475	19760630000000	1976KATHMA02798	
943476	19760630000000	1976KUWAIT03144	
943477	19760630000000	1976JIDDA04632	
